--------- beginning of main
2026-03-25 13:54:00.685   355-355   NxpExtns                vendor.nxp.nxpnfc@1.0-service        D  find found NXP_SYS_CLOCK_TO_CFG=(0x1)
2026-03-25 13:54:00.685   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  gphNxpNciHal_fw_IoctlCtx.bClkSrcVal = 0x2
2026-03-25 13:54:00.685   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  gphNxpNciHal_fw_IoctlCtx.bClkFreqVal = 0x4
2026-03-25 13:54:00.685   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  gphNxpNciHal_fw_IoctlCtx.bClkFreqVal = 0x1
2026-03-25 13:54:00.686   355-355   NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  phTmlNfc_i2c_reset(), VEN level 2
2026-03-25 13:54:00.705   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.723   404-404   gle.vp8.encoder         media.codec                          W  type=1400 audit(0.0:31290): avc: denied { getattr } for path="/dev/sw_sync" dev="tmpfs" ino=236 scontext=u:r:mediacodec:s0 tcontext=u:object_r:sw_sync_device:s0 tclass=chr_file permissive=0
2026-03-25 13:54:00.728   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.798   364-374   chatty                  surfaceflinger                       I  uid=1000(system) HwBinder:364_1 identical 3 lines
2026-03-25 13:54:00.821   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.823   404-404   gle.vp8.encoder         media.codec                          W  type=1400 audit(0.0:31291): avc: denied { getattr } for path="/dev/sw_sync" dev="tmpfs" ino=236 scontext=u:r:mediacodec:s0 tcontext=u:object_r:sw_sync_device:s0 tclass=chr_file permissive=0
2026-03-25 13:54:00.845   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.868   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Allocating Mem for Dnld Context..
2026-03-25 13:54:00.868   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.868   355-355   NxpHal                  vendor.nxp.nxpnfc@1.0-service        D  Calling Seq handler for FW Download 
2026-03-25 13:54:00.868   355-355   NxpExtns                vendor.nxp.nxpnfc@1.0-service        D  find found NXP_FW_NAME=libpn553_fw.so
2026-03-25 13:54:00.870   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  @@@/system/vendor/firmware/libpn553_fw.so
2026-03-25 13:54:00.871   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  FW Image Length - ImageInfoLen 34358
2026-03-25 13:54:00.871   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  FW Image Info Pointer - pImageInfo 0xa95612d0
2026-03-25 13:54:00.871   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  FW Major Version Num - 1
2026-03-25 13:54:00.871   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  FW Minor Version Num - 16
2026-03-25 13:54:00.871   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  FW Image Length - 34358
2026-03-25 13:54:00.871   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        E  FW Image Info Pointer - 0xa95612d0
2026-03-25 13:54:00.871   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  phDnldNfc_InitImgInfo:SUCCESS
2026-03-25 13:54:00.871   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Processing R/W Sequence..
2026-03-25 13:54:00.872   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Response Timer Created Successfully
2026-03-25 13:54:00.872   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Inserting FrameId ..
2026-03-25 13:54:00.872   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Frame created successfully
2026-03-25 13:54:00.872   355-355   NxpFwDnld               vendor.nxp.nxpnfc@1.0-service        D  Force Command Request submitted successfully
2026-03-25 13:54:00.872   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Write requested.....
2026-03-25 13:54:00.872   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:00.891   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.894   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
2026-03-25 13:54:00.895   355-1634  NxpHal                  vendor.nxp.nxpnfc@1.0-service        E  PN54X - Error in I2C Write  - Retry 0x1
2026-03-25 13:54:00.905   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        D  PN54X - Invoking I2C Write.....
2026-03-25 13:54:00.915   364-374   HWComposer              surfaceflinger                       W  Ignoring duplicate VSYNC event from HWC (t=0)
2026-03-25 13:54:00.928   355-1634  NxpTml                  vendor.nxp.nxpnfc@1.0-service        E  _i2c_write() errno : 5
